code,company_name,company_name_ja,sector_33,scale_category,market_cap,avg_trading_value_60d,moat_p,change_p,future_p,price_p,total_p
4204,"Sekisui Chemical Co.,Ltd.",積水化学工業株式会社,Chemicals,TOPIX Mid400,928523747328.0,7323462598.333333,75.24197656647988,92.81711665817626,78.62964849719816,98.42078451349975,86.27738155883851
7181,"JAPAN POST INSURANCE Co.,Ltd.",株式会社かんぽ生命保険,Insurance,TOPIX Mid400,1523559038976.0,4113656849.5731606,98.11512990320938,99.8981151299032,45.6444218033622,99.8981151299032,85.8889454915945
9513,"Electric Power Development Co.,Ltd.",電源開発株式会社,Electric Power and Gas,TOPIX Mid400,695936745472.0,5372123065.0,62.251655629139066,99.33774834437085,78.62964849719816,99.43963321446765,84.91467142129393
8725,"MS&AD Insurance Group Holdings,Inc.",ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社,Insurance,TOPIX Large70,6236137848832.0,17420221550.0,96.94345389709628,98.16607233825778,45.6444218033622,98.57361181864493,84.83188996434029
6356,"NIPPON GEAR CO.,LTD.",日本ギア工業株式会社,Machinery,,21241489408.0,5332541846.666667,58.22720326031584,93.63219561895059,88.18135506877228,98.06418746816098,84.52623535404992
6419,Mars Group Holdings Corporation,株式会社マースグループホールディングス,Machinery,TOPIX Small 1,,281123513.3333333,96.7906265919511,96.63779928680592,88.18135506877228,51.069791136016306,83.1698930208864
5105,Toyo Tire Corporation,ＴＯＹＯ　ＴＩＲＥ株式会社,Rubber Products,TOPIX Mid400,566550134784.0,3965561160.0,84.20784513499746,97.40193581253183,47.809475292919004,99.03209373408049,82.1128374936322
4374,ROBOT PAYMENT INC.,株式会社ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,Information & Communication,,,35713790.0,99.38869077941925,88.33418237391747,84.81915435557819,51.069791136016306,80.9029546612328
9532,"OSAKA GAS CO.,LTD.",大阪瓦斯株式会社,Electric Power and Gas,TOPIX Mid400,2043935195136.0,7527891846.666667,66.17422312786552,79.31737137035151,78.62964849719816,98.01324503311258,80.53362200713194
7747,"ASAHI INTECC CO.,LTD.",朝日インテック株式会社,Precision Instruments,TOPIX Mid400,,3720063671.6666665,95.77177789098319,78.90983188996434,95.72083545593479,51.069791136016306,80.36805909322466
3407,ASAHI KASEI CORPORATION,旭化成株式会社,Chemicals,TOPIX Large70,2398186373120.0,9208645430.0,54.61029037187978,90.06622516556291,78.62964849719816,97.809475292919,80.27890983188996
5214,"Nippon Electric Glass Co.,Ltd.",日本電気硝子株式会社,Glass and Ceramics Products,TOPIX Mid400,507534180352.0,4979816046.666667,78.45134997452878,98.82832399388691,46.23025980641874,97.50382068262863,80.25343861436576
8309,"Sumitomo Mitsui Trust Group,Inc.",三井住友トラストグループ株式会社,Banks,TOPIX Large70,3811114221568.0,12596604166.666666,99.23586347427407,99.69434538970962,22.69485481406011,98.9302088639837,80.13881813550688
9022,Central Japan Railway Company,東海旅客鉄道株式会社,Land Transportation,TOPIX Large70,3234494414848.0,11293249795.0,96.89251146204788,99.9490575649516,22.69485481406011,99.9490575649516,79.8713703515028
8473,"SBI Holdings,Inc.",ＳＢＩホールディングス株式会社,Securities and Commodities Futures,TOPIX Mid400,1881560842240.0,11570306420.0,97.04533876719307,99.64340295466123,22.69485481406011,99.74528782475802,79.78222109016811
3350,Metaplanet Inc.,株式会社メタプラネット,Wholesale Trade,,377558761472.0,9350779301.666666,98.36984207845136,99.79623025980642,22.69485481406011,98.21701477330616,79.76948548140601
9024,SEIBU HOLDINGS INC.,株式会社西武ホールディングス,Land Transportation,TOPIX Mid400,708266426368.0,5192218363.333333,99.08303616912887,99.03209373408049,22.69485481406011,96.94345389709628,79.43835965359145
1662,"Japan Petroleum Exploration Co.,Ltd.",石油資源開発株式会社,Mining,TOPIX Small 1,448766967808.0,7950185018.333333,94.03973509933775,99.23586347427407,22.69485481406011,99.54151808456444,78.8779928680591
6524,"KOHOKU KOGYO CO.,LTD.",湖北工業株式会社,Electric Appliances,,,1717554650.0,84.92103922567499,78.85888945491595,100.0,51.069791136016306,78.71242995415182
3003,"Hulic Co.,Ltd.",ヒューリック株式会社,Real Estate,TOPIX Mid400,1253636833280.0,4461544794.166667,95.92460519612838,96.28120224146714,22.69485481406011,98.52266938359654,78.35583290881304
