cohort,portfolio,code,company_name,sector_33,market_equity_pti,moat_p,change_p,future_p,price_p,forward_return
FY2024_252d,equal25_sectorcap2,7740,"Tamron Co.,Ltd.",Precision Instruments,37730568375.0,87.79375312780746,70.87867742341437,95.28611632270169,93.43339587242026,0.2191738646598375
FY2024_252d,equal25_sectorcap2,6675,"SAXA,Inc.",Electric Appliances,5244056062.0,63.59886667831945,78.35701924319838,95.28611632270169,98.78048780487805,0.5844499370353897
FY2024_252d,equal25_sectorcap2,6932,ENDO Lighting Corporation,Electric Appliances,22814485224.0,70.23568552413253,82.96583421619336,95.28611632270169,85.62382739212006,0.6609352566996083
FY2024_252d,equal25_sectorcap2,6356,"NIPPON GEAR CO.,LTD.",Machinery,8271929400.0,74.2434777032373,90.63501767365032,87.03095684803002,79.36210131332082,-0.0672344657930847
FY2024_252d,equal25_sectorcap2,4107,ISE CHEMICALS CORPORATION,Chemicals,11456111480.0,75.2979623419735,78.93040614986987,77.57973733583489,96.74015009380864,1.2733309923897351
FY2024_252d,equal25_sectorcap2,6457,GLORY LTD.,Machinery,157374202370.0,63.20979545222849,96.1176982095932,87.03095684803002,81.82457786116322,0.3009007442429827
FY2024_252d,equal25_sectorcap2,4251,KEIWA Incorporated,Chemicals,21096424688.0,81.67012566665085,84.7567313736721,77.57973733583489,69.32457786116322,0.1852351532166523
FY2024_252d,equal25_sectorcap2,3443,"KAWADA TECHNOLOGIES,INC.",Metal Products,5154375186.820679,43.283976760377,82.26955178778081,77.57973733583489,99.953095684803,0.5127781246741294
FY2024_252d,equal25_sectorcap2,7727,OVAL Corporation,Precision Instruments,10440264000.0,56.089306187527086,73.44689582038397,95.28611632270169,73.52251407129455,0.0039427540804535
FY2024_252d,equal25_sectorcap2,5975,Topre Corporation,Metal Products,108555637012.0,44.678382818525755,88.14686294062462,77.57973733583489,85.95215759849907,-0.0360738763015573
FY2024_252d,equal25_sectorcap2,9534,"HOKKAIDO GAS CO.,LTD.",Electric Power and Gas,12387778118.0,58.36914226783604,58.18554898509664,77.57973733583489,99.31988742964353,-0.1180588320762452
FY2024_252d,equal25_sectorcap2,7595,ARGO GRAPHICS Inc.,Information & Communication,25888331000.0,72.88929378131226,61.087921507949716,64.8452157598499,90.78330206378986,0.0984763458361537
FY2024_252d,equal25_sectorcap2,3979,"ULURU.CO.,LTD.",Information & Communication,2632869750.0,80.05806924416262,67.70340021490422,64.8452157598499,76.82926829268293,0.0422676435113338
FY2024_252d,equal25_sectorcap2,7122,"THE KINKI SHARYO CO.,LTD.",Transportation Equipment,13740875723.0,58.897123651636754,92.74931614056443,43.76172607879925,93.52720450281427,0.0402993336128369
FY2024_252d,equal25_sectorcap2,9509,"Hokkaido Electric Power Company,Incorporated",Electric Power and Gas,245519094108.0,46.73267271590938,81.43479954639928,77.57973733583489,82.8799249530957,-0.3279495342269251
FY2024_252d,equal25_sectorcap2,7299,FUJI OOZX Inc.,Transportation Equipment,3105421200.0,60.298349221362415,81.38707072809702,43.76172607879925,99.55440900562851,-0.0321964103674375
FY2024_252d,equal25_sectorcap2,6196,"Strike Group Co.,Ltd.",Services,22787321885.302734,93.97947593094636,66.96147755887357,51.571294559099435,67.70637898686678,0.2539786085688755
FY2024_252d,equal25_sectorcap2,7859,ALMEDIO INC.,Other Products,8029627408.0,90.52742805093821,95.40438342976216,20.661350844277674,73.12382739212008,-0.4201031247874499
FY2024_252d,equal25_sectorcap2,5161,"NISHIKAWA RUBBER CO.,LTD.",Rubber Products,17027649527.5,46.757378407533736,89.3272469103933,43.76172607879925,97.34990619136961,2.688663568142822
FY2024_252d,equal25_sectorcap2,1723,"NIHON DENGI CO.,LTD.",Construction,5255692375.0,76.27999403090863,80.37223835548178,20.661350844277674,99.36679174484053,0.8477839615962699
FY2024_252d,equal25_nodiv,7740,"Tamron Co.,Ltd.",Precision Instruments,37730568375.0,87.79375312780746,70.87867742341437,95.28611632270169,93.43339587242026,0.2191738646598375
FY2024_252d,equal25_nodiv,6675,"SAXA,Inc.",Electric Appliances,5244056062.0,63.59886667831945,78.35701924319838,95.28611632270169,98.78048780487805,0.5844499370353897
FY2024_252d,equal25_nodiv,6932,ENDO Lighting Corporation,Electric Appliances,22814485224.0,70.23568552413253,82.96583421619336,95.28611632270169,85.62382739212006,0.6609352566996083
FY2024_252d,equal25_nodiv,6356,"NIPPON GEAR CO.,LTD.",Machinery,8271929400.0,74.2434777032373,90.63501767365032,87.03095684803002,79.36210131332082,-0.0672344657930847
FY2024_252d,equal25_nodiv,4107,ISE CHEMICALS CORPORATION,Chemicals,11456111480.0,75.2979623419735,78.93040614986987,77.57973733583489,96.74015009380864,1.2733309923897351
FY2024_252d,equal25_nodiv,6457,GLORY LTD.,Machinery,157374202370.0,63.20979545222849,96.1176982095932,87.03095684803002,81.82457786116322,0.3009007442429827
FY2024_252d,equal25_nodiv,6905,"COSEL CO.,LTD.",Electric Appliances,38289950800.0,78.88555525735026,80.76453018499227,95.28611632270169,72.84240150093808,0.1214947422439827
FY2024_252d,equal25_nodiv,6927,"Helios Techno Holding Co.,Ltd.",Electric Appliances,15607194000.0,76.92160537448167,85.17599671700293,95.28611632270169,69.65290806754221,0.0155207355287916
FY2024_252d,equal25_nodiv,6454,"MAX CO.,LTD.",Machinery,44831169307.5,78.92677476642501,68.27096707436355,87.03095684803002,91.04127579737336,0.2657437739024133
FY2024_252d,equal25_nodiv,6458,SINKO INDUSTRIES LTD.,Machinery,33355192605.0,73.16210075018748,76.8075238218397,87.03095684803002,88.08630393996248,-0.0685362134912052
