code,ticker,company_name,avg_daily_value_60d,avg_volume_60d,median_daily_value_60d,liquidity_available,liquidity_flag,liquidity_exclusion_flag,liquidity_reason
9022,9022.T,Central Japan Railway Company,11293249795.0,2844086.6666666665,9578881400.0,True,pass,False,pass
9501,9501.T,"Tokyo Electric Power Company Holdings,Incorporated",35605341998.17322,56992405.0,34089930237.908936,True,pass,False,pass
3449,3449.T,TECHNOFLEX CORPORATION,702634568.3333334,154876.66666666666,396248950.0,True,pass,False,pass
6178,6178.T,"JAPAN POST HOLDINGS Co.,Ltd.",10722098913.333334,5606613.333333333,9384905850.0,True,pass,False,pass
6777,6777.T,santec Holdings Corporation,6644598083.333333,262090.0,5681325000.0,True,pass,False,pass
6627,6627.T,"Tera Probe,Inc.",1317274283.3333333,131895.0,1150275000.0,True,pass,False,pass
6524,6524.T,"KOHOKU KOGYO CO.,LTD.",1717554650.0,326406.6666666667,1613172500.0,True,pass,False,pass
6387,6387.T,SAMCO INC.,1829675283.3333333,192685.0,1692883500.0,True,pass,False,pass
5076,5076.T,INFRONEER Holdings Inc.,4740891821.666667,2067411.6666666667,3988502925.0,True,pass,False,pass
6800,6800.T,"YOKOWO CO.,LTD.",835476995.0,200018.33333333334,663638000.0,True,pass,False,pass
9513,9513.T,"Electric Power Development Co.,Ltd.",5372123065.0,1331646.6666666667,4587349250.0,True,pass,False,pass
8050,8050.T,SEIKO GROUP CORPORATION,1845328000.0,295961.6666666667,1771468000.0,True,pass,False,pass
6617,6617.T,"TAKAOKA TOKO CO.,LTD.",971058550.0,146341.66666666666,751206500.0,True,pass,False,pass
6356,6356.T,"NIPPON GEAR CO.,LTD.",5332541846.666667,3058513.3333333335,1202155500.0,True,pass,False,pass
1909,1909.T,"Nippon Dry-Chemical CO.,LTD.",1098486153.3333333,334683.3333333333,627297450.0,True,pass,False,pass
4971,4971.T,MEC COMPANY LTD.,2863908933.3333335,328108.3333333333,2214236000.0,True,pass,False,pass
6278,6278.T,UNION TOOL CO.,5832879450.0,339858.3333333333,5677722000.0,True,pass,False,pass
9503,9503.T,"The Kansai Electric Power Company,Incorporated",10170685626.666666,4107695.0,9594270000.0,True,pass,False,pass
6941,6941.T,"YAMAICHI ELECTRONICS CO.,LTD.",3975964583.3333335,431771.6666666667,3347810000.0,True,pass,False,pass
6871,6871.T,"MICRONICS JAPAN CO.,LTD.",12744986383.333334,996013.3333333334,11672432500.0,True,pass,False,pass
6264,6264.T,"Marumae Co.,Ltd.",1848958473.3333333,915493.3333333334,1279225800.0,True,pass,False,pass
6920,6920.T,Lasertec Corporation,170069025650.0,4399021.666666667,157916961000.0,True,pass,False,pass
5985,5985.T,SUNCALL CORPORATION,4600344573.333333,2492636.6666666665,2715781950.0,True,pass,False,pass
2153,2153.T,E・J Holdings Inc.,114817305.0,67033.33333333333,100016700.0,True,pass,False,pass
6648,6648.T,KAWADEN CORPORATION,162615866.66666666,77710.0,134781000.0,True,pass,False,pass
6327,6327.T,"KITAGAWA SEIKI CO.,LTD.",1635228620.0,573766.6666666666,909694650.0,True,pass,False,pass
4368,4368.T,"FUSO CHEMICAL CO.,LTD.",2355934975.1916504,677728.3333333334,1719986050.0,True,pass,False,pass
6745,6745.T,HOCHIKI CORPORATION,705398966.8503824,337811.6666666667,618874211.9384766,True,pass,False,pass
9502,9502.T,"Chubu Electric Power Company,Incorporated",8361451579.166667,3092333.3333333335,7867711550.0,True,pass,False,pass
6695,6695.T,"Castrico Co.,Ltd.",0.0,0.0,0.0,True,exclude,True,avg_daily_value_60d_below_3m
1662,1662.T,"Japan Petroleum Exploration Co.,Ltd.",7950185018.333333,3352051.6666666665,6863971000.0,True,pass,False,pass
6994,6994.T,SHIZUKI ELECTRIC COMPANY INC.,528394041.6666667,482726.6666666667,393408800.0,True,pass,False,pass
6834,6834.T,"SEIKOH GIKEN Co.,Ltd.",10655836183.333334,385956.6666666667,9137862500.0,True,pass,False,pass
7762,7762.T,"Citizen Watch Co.,Ltd.",2374966998.3333335,1232563.3333333333,2082720800.0,True,pass,False,pass
6492,6492.T,OKANO VALVE MFG.CO.LTD.,936786283.3333334,71046.66666666667,585069000.0,True,pass,False,pass
6914,6914.T,"OPTEX GROUP Company,Limited",650260945.0,188371.66666666666,419568450.0,True,pass,False,pass
7999,7999.T,"MUTOH HOLDINGS CO.,LTD.",105031466.66666667,13846.666666666666,60559000.0,True,pass,False,pass
6741,6741.T,"Nippon Signal Company,Limited",286578320.0,171248.33333333334,252224500.0,True,pass,False,pass
6929,6929.T,"NIPPON CERAMIC CO.,LTD.",466737675.0,124013.33333333333,410580750.0,True,pass,False,pass
6785,6785.T,"SUZUKI CO.,LTD.",185626705.0,62045.0,151944200.0,True,pass,False,pass
6824,6824.T,"NEW COSMOS ELECTRIC CO.,LTD.",72165825.0,14510.0,68105000.0,True,pass,False,pass
6703,6703.T,"Oki Electric Industry Company,Limited",2528427016.6666665,818698.3333333334,2229226000.0,True,pass,False,pass
6248,6248.T,"Yokota Manufacturing Co., Ltd.",8235570.0,4253.333333333333,3161600.0,True,review,False,avg_daily_value_60d_below_10m
3723,3723.T,NIHON FALCOM CORPORATION,35234886.666666664,15733.333333333334,27191300.0,True,pass,False,pass
6814,6814.T,"FURUNO ELECTRIC CO.,LTD.",2906114066.6666665,420620.0,2220642000.0,True,pass,False,pass
3105,3105.T,Nisshinbo Holdings Inc.,2026098104.1666667,1044228.3333333334,1793055075.0,True,pass,False,pass
9880,9880.T,INNOTECH CORPORATION,702919663.3333334,209205.0,384464900.0,True,pass,False,pass
6490,6490.T,PILLAR Corporation,1152533633.3333333,130971.66666666667,977010000.0,True,pass,False,pass
6894,6894.T,"PULSTEC INDUSTRIAL CO.,LTD.",3330735.0,1546.6666666666667,2589600.0,True,review,False,avg_daily_value_60d_below_10m
6961,6961.T,ENPLAS CORPORATION,3183918650.0,221626.66666666666,2586046000.0,True,pass,False,pass
6960,6960.T,"FUKUDA DENSHI CO.,LTD.",515949750.0,49265.0,428487500.0,True,pass,False,pass
6419,6419.T,Mars Group Holdings Corporation,281123513.3333333,94570.0,227388450.0,True,pass,False,pass
7747,7747.T,"ASAHI INTECC CO.,LTD.",3720063671.6666665,1094850.0,3657977750.0,True,pass,False,pass
5214,5214.T,"Nippon Electric Glass Co.,Ltd.",4979816046.666667,727385.0,4752324350.0,True,pass,False,pass
7749,7749.T,"MEDIKIT CO.,LTD.",4741586.666666667,1596.6666666666667,3601800.0,True,review,False,avg_daily_value_60d_below_10m
6866,6866.T,HIOKI E.E.CORPORATION,739085916.6666666,72521.66666666667,481592000.0,True,pass,False,pass
6996,6996.T,NICHICON CORPORATION,1880553048.3333333,669555.0,782577100.0,True,pass,False,pass
6925,6925.T,USHIO INC.,1485762752.5,438061.6666666667,1216784900.0,True,pass,False,pass
1948,1948.T,"The Kodensha,Co.,Ltd.",492083900.0,59228.333333333336,231418500.0,True,pass,False,pass
5187,5187.T,"CREATE MEDIC CO.,LTD.",14786746.666666666,12793.333333333334,13581900.0,True,pass,False,pass
5706,5706.T,"Mitsui Kinzoku Company,Limited",90496849483.33333,2298686.6666666665,77738173000.0,True,pass,False,pass
6136,6136.T,OSG Corporation,1433408844.1666667,473035.0,1417823000.0,True,pass,False,pass
6855,6855.T,JAPAN ELECTRONIC MATERIALS CORPORATION,5397408550.0,765873.3333333334,5036307500.0,True,pass,False,pass
6643,6643.T,"Togami Electric Mfg.Co.,Ltd.",118562650.0,19336.666666666668,95092000.0,True,pass,False,pass
4099,4099.T,SHIKOKU KASEI HOLDINGS CORPORATION,1080196783.3333333,204896.66666666666,912363000.0,True,pass,False,pass
6480,6480.T,"NIPPON THOMPSON CO.,LTD.",1314794431.6666667,844716.6666666666,494077400.0,True,pass,False,pass
6877,6877.T,Obara Group Incorporated,517147733.3333333,87240.0,343806000.0,True,pass,False,pass
7725,7725.T,INTER ACTION Corporation,230083373.33333334,129988.33333333333,149751600.0,True,pass,False,pass
7711,7711.T,"SUKEGAWA ELECTRIC CO.,LTD.",822185566.6666666,127968.33333333333,587867500.0,True,pass,False,pass
7746,7746.T,"OKAMOTO GLASS CO.,LTD.",1525234536.6666667,1509801.6666666667,836749500.0,True,pass,False,pass
6809,6809.T,TOA CORPORATION,263924000.0,155435.0,199790500.0,True,pass,False,pass
6454,6454.T,"MAX CO.,LTD.",539091076.6666666,316225.0,485109400.0,True,pass,False,pass
6622,6622.T,DAIHEN CORPORATION,3054266466.6666665,209893.33333333334,2694189000.0,True,pass,False,pass
7730,7730.T,"MANI,INC.",575694746.6666666,344310.0,439255950.0,True,pass,False,pass
7716,7716.T,NAKANISHI INC.,688632315.0,243451.66666666666,649667300.0,True,pass,False,pass
6647,6647.T,"MORIO DENKI CO.,LTD.",5372728.333333333,1930.0,3474000.0,True,review,False,avg_daily_value_60d_below_10m
