rank,code,company_name,market,sector,market_equity,bm_raw,bm_percentile,ep_raw,ep_percentile,gross_profitability,gross_profitability_percentile,piotroski_available_score,piotroski_available_max,piotroski_available_ratio,sloan_accruals,sloan_accruals_percentile,distress_flags,distress_review_flag,distress_exclusion_flag,liquidity,liquidity_flag,liquidity_exclusion_flag,anomaly_flags,selection_cell,tie_break_reason,final20_type,human_review_required,adoption_rationale,inclusion_note
1,3539,"JM HOLDINGS CO.,LTD.",Prime Market (Domestic),Retail Trade,31797792000.0,1.4261053094504172,0.7601165425704112,0.2040707732159516,0.9476363636363636,0.7348633819666947,0.9181459566074952,6.0,6,1.0,-0.0021099389228206,0.3462540716612378,,False,False,144716800.0,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",sector_adjusted,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_under_sector_cap; sector_count_after_selection<=5; Retail Trade
2,4350,"MEDICAL SYSTEM NETWORK Co.,Ltd.",Standard Market(Domestic),Retail Trade,15322134400.0,1.4402040488562742,0.7649724830042085,0.1742577065503354,0.9221818181818182,0.7187827614541127,0.9122287968441816,6.0,6,1.0,-0.02579017551447,0.5547231270358306,,False,False,30067965.0,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",sector_adjusted,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_under_sector_cap; sector_count_after_selection<=5; Retail Trade
3,9990,SAC'S BAR HOLDINGS INC.,Prime Market (Domestic),Retail Trade,20688014400.0,1.4279661367598429,0.7607640012949175,0.1230264031525422,0.8261818181818181,0.6444542100866973,0.8872452333990796,4.0,6,0.6666666666666666,-0.0145722900362938,0.4543973941368078,,False,False,64096080.0,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",sector_adjusted,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_under_sector_cap; sector_count_after_selection<=5; Retail Trade
4,8278,"FUJI CO.,LTD.",Prime Market (Domestic),Retail Trade,167319394358.0,1.3580434047819971,0.7348656523146649,0.0976097245789434,0.692,0.6015240407310001,0.8698224852071006,5.0,6,0.8333333333333334,-0.0517714202800415,0.7560260586319218,,False,False,256673550.0,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",sector_adjusted,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_under_sector_cap; sector_count_after_selection<=5; Retail Trade
5,6430,"DAIKOKU DENKI CO.,LTD.",Prime Market (Domestic),Machinery,30849726720.0,1.4680010753754904,0.7743606345095501,0.2504875349508444,0.9676363636363636,0.4661222776211255,0.7853385930309007,4.0,6,0.6666666666666666,0.0010428298740779,0.3241042345276873,,False,False,161995896.66666666,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",sector_adjusted,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_under_sector_cap; sector_count_after_selection<=5; Machinery
6,7803,Bushiroad Inc.,Growth Market(Domestic),Other Products,17495534700.0,1.4416281315483317,0.765943671090968,0.2051146799188709,0.9490909090909092,0.4013605395783348,0.7215647600262984,6.0,6,1.0,-0.0443112124392795,0.70814332247557,,False,False,159848943.33333334,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",sector_adjusted,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_under_sector_cap; sector_count_after_selection<=5; Other Products
7,9470,"GAKKEN HOLDINGS CO.,LTD.",Prime Market (Domestic),Information & Communication,38972580212.0,1.52597030210713,0.7957267724182583,0.1215213356220572,0.8210909090909091,0.3947943158469474,0.7130177514792899,6.0,6,1.0,-0.0228300013337878,0.5296416938110748,,False,False,121937936.66666669,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",sector_adjusted,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_under_sector_cap; sector_count_after_selection<=5; Information & Communication
8,9274,"KPP GROUP HOLDINGS CO.,LTD.",Prime Market (Domestic),Wholesale Trade,65361444048.0,1.3190651041412866,0.7196503722887666,0.1222739202966637,0.8247272727272728,0.3667703495391083,0.6844181459566075,5.0,6,0.8333333333333334,-0.0091214863113105,0.403257328990228,,False,False,270670861.6666667,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",sector_adjusted,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_under_sector_cap; sector_count_after_selection<=5; Wholesale Trade
9,9507,"Shikoku Electric Power Company,Incorporated",Prime Market (Domestic),Electric Power and Gas,289821502032.0,1.5210845189509965,0.7934606668824863,0.236369625854869,0.9618181818181818,0.3592865040089916,0.6729125575279421,6.0,6,1.0,-0.0284462935638381,0.5801302931596091,,False,False,1122384626.6666667,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",sector_adjusted,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_under_sector_cap; sector_count_after_selection<=5; Electric Power and Gas
10,6454,"MAX CO.,LTD.",Prime Market (Domestic),Machinery,75379198640.0,1.4066745456714502,0.7546131434121075,0.148993358945584,0.8898181818181818,0.3522963462294661,0.6650230111768574,6.0,6,1.0,-0.0272563411386444,0.5693811074918567,,False,False,539091076.6666666,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",sector_adjusted,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_under_sector_cap; sector_count_after_selection<=5; Machinery
