code,ai_infrastructure_category,emerging_evidence_level,evidence_snippet,evidence_source,source_type
6526,semiconductor,2,"Custom SoCs are explicitly positioned for data center/networking, automotive, smart-device and industrial applications.",https://www.socionext.com/en/products/customsoc/,company_product_page
3697,quality_assurance,3,"SHIFT discloses end-to-end software quality assurance and more than 3,000 customer companies as of April 2024.",https://service.shiftinc.jp/service_cat/softwaretest/,company_service_page
9474,business_data,3,ZENRIN describes a company-information database covering about five million records linked to building-level location data.,https://www.zenrin.co.jp/product/category/gis/contents/csd/index.html,company_product_page
5803,optical_communication,2,Fujikura discloses optical-fiber cabling solutions designed for data-center racks and space efficiency.,https://www.fujikura.co.jp/eng/resource/pdf/20241107_2.pdf,company_ir_pdf
6315,semiconductor,3,TOWA's integrated report identifies semiconductor sales of JPY39.53bn in FY2025 and links compression molding to advanced packages for generative AI.,https://www.towajapan.co.jp/en/wp-content/uploads/sites/3/2025/10/tr2025A3e.pdf,company_integrated_report
7735,semiconductor,2,SCREEN identifies semiconductor production equipment and world-leading wet etch and clean equipment as core businesses.,https://www.screen.co.jp/en/overview,company_business_page
6146,precision_processing,2,DISCO supplies precision cutting grinding and polishing equipment plus consumable tools mainly to semiconductor and electronic-component manufacturers.,https://www.disco.co.jp/eg/introduction/index.html,company_business_page
6920,quality_assurance,2,Lasertec states that EUV mask blank inspection is a de facto standard and its inspection systems are crucial to semiconductor manufacturing.,https://www.lasertec.co.jp/en/company/business.html,company_business_page
6367,cooling,2,Daikin discloses dedicated data-center cooling systems for 24-hour server protection and energy-efficient operation.,https://www.daikin.com/products/ac/applications/modals/23_data_centers,company_product_page
6841,factory_automation,3,"Yokogawa states that more than 30,000 systems use its distributed-control systems for industrial production goals.",https://www.yokogawa.com/solutions/products-and-services/control/control-and-safety-system/,company_product_page
2326,cybersecurity,3,Digital Arts discloses integrated web email and file security products and patents in 27 countries and regions.,https://www.daj.jp/en/about/business/,company_business_page
3692,cybersecurity,2,FFRI discloses endpoint security managed services and automated malware-analysis products based on domestic core security R&D.,https://www.ffri.jp/en/en_products_top,company_product_page
6368,semiconductor,3,"Organo states that its ultrapure-water systems serve semiconductor plants at capacities up to 1,000 cubic metres per hour.",https://www.organo.co.jp/en/about/strengths/,company_business_page
6622,power_grid,2,DAIHEN discloses transformers and distribution equipment together with factory-automation robots and semiconductor plasma RF generators.,https://www.daihen.co.jp/en/company/about/,company_profile
