code,ticker,company_name,market,sector,market_equity_final,market_equity_method,book_equity,net_income,pbr_raw,per_raw,bm_raw,bm_method,ep_raw,ep_method,bm_winsorized,ep_winsorized,bm_available,ep_available,value_metric_quality_flag,notes,anomaly_flags,gross_profitability,gross_profitability_available,available_signal_score,available_signal_max,sloan_accruals,sloan_accruals_winsorized,distress_review_flag,distress_exclusion_flag,distress_reason,avg_daily_value_60d,liquidity_flag,liquidity_exclusion_flag,anomaly_flags_review,microcap_flag,one_time_profit_suspected,bm_percentile,ep_percentile,gross_profitability_percentile,sloan_accruals_percentile,piotroski_available_ratio,phase1_final_candidate,selection_cell,distress_flags,liquidity,human_review_required,tie_break_reason,adoption_rationale,latest_price,bm_available_bool,ep_available_bool,gp_available_bool,distress_exclusion_bool,distress_review_bool,liquidity_available_bool,anomaly_exclusion_bool,gross_profitability_sector_median_or_better
3539,3539.T,"JM HOLDINGS CO.,LTD.",Prime Market (Domestic),Retail Trade,31797792000.0,close_times_edinet_shares_outstanding,45347000000.0,6489000000.0,,,1.4261053094504172,book_equity_over_market_equity,0.2040707732159516,net_income_over_market_equity,1.4261053094504172,0.2040707732159516,True,True,B_price_times_shares,,,0.7348633819666947,True,6.0,6,-0.0021099389228206,-0.0021099389228206,False,False,,144716800.0,pass,False,,False,False,0.7601165425704112,0.9476363636363636,0.9181459566074952,0.3462540716612378,1.0,True,HighValuexHighQuality,,144716800.0,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",1248.0,True,True,True,False,False,True,False,True
4350,4350.T,"MEDICAL SYSTEM NETWORK Co.,Ltd.",Standard Market(Domestic),Retail Trade,15322134400.0,close_times_edinet_shares_outstanding,22067000000.0,2670000000.0,,,1.4402040488562742,book_equity_over_market_equity,0.1742577065503354,net_income_over_market_equity,1.4402040488562742,0.1742577065503354,True,True,B_price_times_shares,,,0.7187827614541127,True,6.0,6,-0.02579017551447,-0.02579017551447,False,False,,30067965.0,pass,False,,False,False,0.7649724830042085,0.9221818181818182,0.9122287968441816,0.5547231270358306,1.0,True,HighValuexHighQuality,,30067965.0,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",514.0,True,True,True,False,False,True,False,True
9990,9990.T,SAC'S BAR HOLDINGS INC.,Prime Market (Domestic),Retail Trade,20688014400.0,close_times_edinet_shares_outstanding,29541784000.0,2545172000.0,,,1.4279661367598429,book_equity_over_market_equity,0.1230264031525422,net_income_over_market_equity,1.4279661367598429,0.1230264031525422,True,True,B_price_times_shares,,,0.6444542100866973,True,4.0,6,-0.0145722900362938,-0.0145722900362938,False,False,,64096080.0,pass,False,,False,False,0.7607640012949175,0.8261818181818181,0.8872452333990796,0.4543973941368078,0.6666666666666666,True,HighValuexHighQuality,,64096080.0,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",712.0,True,True,True,False,False,True,False,True
6430,6430.T,"DAIKOKU DENKI CO.,LTD.",Prime Market (Domestic),Machinery,30849726720.0,close_times_edinet_shares_outstanding,45287432000.0,7727472000.0,,,1.4680010753754904,book_equity_over_market_equity,0.2504875349508444,net_income_over_market_equity,1.4680010753754904,0.2504875349508444,True,True,B_price_times_shares,,,0.4661222776211255,True,4.0,6,0.0010428298740779,0.0010428298740779,False,False,,161995896.66666666,pass,False,,False,False,0.7743606345095501,0.9676363636363636,0.7853385930309007,0.3241042345276873,0.6666666666666666,True,HighValuexHighQuality,,161995896.66666666,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",2085.0,True,True,True,False,False,True,False,True
7803,7803.T,Bushiroad Inc.,Growth Market(Domestic),Other Products,17495534700.0,close_times_edinet_shares_outstanding,25222055000.0,3588591000.0,,,1.4416281315483317,book_equity_over_market_equity,0.2051146799188709,net_income_over_market_equity,1.4416281315483317,0.2051146799188709,True,True,B_price_times_shares,,,0.4013605395783348,True,6.0,6,-0.0443112124392795,-0.0443112124392795,False,False,,159848943.33333334,pass,False,,False,False,0.765943671090968,0.9490909090909092,0.7215647600262984,0.70814332247557,1.0,True,HighValuexHighQuality,,159848943.33333334,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",258.0,True,True,True,False,False,True,False,True
9470,9470.T,"GAKKEN HOLDINGS CO.,LTD.",Prime Market (Domestic),Information & Communication,38972580212.0,close_times_edinet_shares_outstanding,59471000000.0,4736000000.0,,,1.52597030210713,book_equity_over_market_equity,0.1215213356220572,net_income_over_market_equity,1.52597030210713,0.1215213356220572,True,True,B_price_times_shares,,,0.3947943158469474,True,6.0,6,-0.0228300013337878,-0.0228300013337878,False,False,,121937936.66666669,pass,False,,False,False,0.7957267724182583,0.8210909090909091,0.7130177514792899,0.5296416938110748,1.0,True,HighValuexHighQuality,,121937936.66666669,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",941.0,True,True,True,False,False,True,False,True
9274,9274.T,"KPP GROUP HOLDINGS CO.,LTD.",Prime Market (Domestic),Wholesale Trade,65361444048.0,close_times_edinet_shares_outstanding,86216000000.0,7992000000.0,,,1.3190651041412866,book_equity_over_market_equity,0.1222739202966637,net_income_over_market_equity,1.3190651041412866,0.1222739202966637,True,True,B_price_times_shares,,,0.3667703495391083,True,5.0,6,-0.0091214863113105,-0.0091214863113105,False,False,,270670861.6666667,pass,False,,False,False,0.7196503722887666,0.8247272727272728,0.6844181459566075,0.403257328990228,0.8333333333333334,True,HighValuexHighQuality,,270670861.6666667,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",972.0,True,True,True,False,False,True,False,True
9507,9507.T,"Shikoku Electric Power Company,Incorporated",Prime Market (Domestic),Electric Power and Gas,289821502032.0,close_times_edinet_shares_outstanding,440843000000.0,68505000000.0,,,1.5210845189509965,book_equity_over_market_equity,0.236369625854869,net_income_over_market_equity,1.5210845189509965,0.236369625854869,True,True,B_price_times_shares,,,0.3592865040089916,True,6.0,6,-0.0284462935638381,-0.0284462935638381,False,False,,1122384626.6666667,pass,False,,False,False,0.7934606668824863,0.9618181818181818,0.6729125575279421,0.5801302931596091,1.0,True,HighValuexHighQuality,,1122384626.6666667,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",1416.0,True,True,True,False,False,True,False,True
6454,6454.T,"MAX CO.,LTD.",Prime Market (Domestic),Machinery,75379198640.0,close_times_edinet_shares_outstanding,106034000000.0,11231000000.0,,,1.4066745456714502,book_equity_over_market_equity,0.148993358945584,net_income_over_market_equity,1.4066745456714502,0.148993358945584,True,True,B_price_times_shares,,,0.3522963462294661,True,6.0,6,-0.0272563411386444,-0.0272563411386444,False,False,,539091076.6666666,pass,False,,False,False,0.7546131434121075,0.8898181818181818,0.6650230111768574,0.5693811074918567,1.0,True,HighValuexHighQuality,,539091076.6666666,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",1640.0,True,True,True,False,False,True,False,True
1873,1873.T,"NIHON HOUSE HOLDINGS CO.,LTD.",Prime Market (Domestic),Construction,11559479800.0,close_times_edinet_shares_outstanding,22031000000.0,1331000000.0,,,1.905881612423424,book_equity_over_market_equity,0.1151435897660377,net_income_over_market_equity,1.905881612423424,0.1151435897660377,True,True,B_price_times_shares,,,0.3467544107934711,True,6.0,6,-0.0494989371393865,-0.0494989371393865,False,False,,42986025.0,pass,False,,False,False,0.8727743606345095,0.7941818181818182,0.6577909270216963,0.7413680781758958,1.0,True,HighValuexHighQuality,,42986025.0,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",289.0,True,True,True,False,False,True,False,True
